pdb_id,structure_name,organism,resolution,space_group,crystal_system,unit_cell_a,unit_cell_b,unit_cell_c,unit_cell_alpha,unit_cell_beta,unit_cell_gamma,crystal_method,mean_bfactor,min_bfactor,max_bfactor,bfactor_range
8PWF,crystal structure of VDR in complex with Des-C-Ring and Aromatic-D-Ring analog 2,Danio rerio,2.3,P 65 2 2,Hexagonal,65.599,65.599,264.121,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",93.01,54.93,171.86,116.93
8PWM,Crystal structure of VDR in complex with Des-C-Ring and Aromatic-D-Ring analog 3b,Danio rerio,2.3,P 65 2 2,Hexagonal,65.849,65.849,264.213,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",90.76,30.0,160.04,130.04
8PZ6,"crystal structure of VDR in complex with D-Bishomo-1a,25-dihydroxyvitamin D3 analog 56",Danio rerio,2.9,P 65 2 2,Hexagonal,66.07,66.07,261.06,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",99.19,30.0,179.96,149.96
8PZ7,"crystal structure of VDR complex with D-Bishomo-1a,25-dihydroxyvitamin D3 Analog 57",Danio rerio,2.93,P 65 2 2,Hexagonal,66.24,66.24,264.04,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",81.63,30.0,140.5,110.5
8PZ8,"crystal structure of VDR in complex with D-Bishomo-1a,25-dihydroxyvitamin D3 Analog 54",Danio rerio,2.64,P 65 2 2,Hexagonal,65.37,65.37,262.01,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",79.46,44.32,169.43,125.11
8PZ9,"Crystal structure of VDR in complex with D-Bishomo-1a,25-dihydroxyvitamin D3 Analog 55",Danio rerio,2.74,P 65 2 2,Hexagonal,65.79,65.79,263.83,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",83.33,47.96,148.77,100.81
8PZB,"crystal structure of VDR in complex with D-Bishomo-1a,25-dihydroxyvitamin D3 Analog 49",Danio rerio,2.73,P 65 2 2,Hexagonal,65.62,65.62,263.62,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",78.36,30.0,133.67,103.67
9FW8,VDR complex with UG-650,Danio rerio,2.42,P 65 2 2,Hexagonal,66.01,66.01,264.2,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
1S0Z,Crystal structure of the VDR LBD complexed to seocalcitol.,Homo sapiens,2.5,P 21 21 21,Orthorhombic,45.134,52.528,132.648,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",23.05,1.35,73.98,72.63
1S19,Crystal structure of VDR ligand binding domain complexed to calcipotriol.,Homo sapiens,2.1,P 21 21 21,Orthorhombic,45.248,52.55,132.909,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",21.79,5.04,56.0,50.96
4IA1,Diastereotopic and Deuterium Effects in Gemini,Danio rerio,2.44,P 65 2 2,Hexagonal,65.893,65.893,266.886,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",59.24,32.29,105.92,73.63
4IA2,Diastereotopic and Deuterium Effects in Gemini,Danio rerio,2.95,P 65 2 2,Hexagonal,65.77,65.77,266.421,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",62.23,37.21,107.01,69.8
4IA3,Diastereotopic and Deuterium Effects in Gemini,Danio rerio,2.7,P 65 2 2,Hexagonal,66.044,66.044,266.634,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",52.69,25.97,99.0,73.03
4IA7,Diastereotopic and Deuterium Effects in Gemini,Danio rerio,2.7,P 65 2 2,Hexagonal,66.178,66.178,266.412,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",49.02,24.1,84.43,60.33
5YSY,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with (1R,2R,3R)-5-[(E)-2-{(1R,3aS,7aR)-1-[(R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,6,7,7a-hexahydro-1H-inden-4-yl}vinyl]-2-(3-hydroxypropyl)cyclohex-4-ene-1,3-diol",Homo sapiens,2.0,P 21 21 21,Orthorhombic,44.682,51.538,132.651,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",23.44,8.39,64.21,55.82
5YT2,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with (1R,2S,3R)-5-[(E)-2-{(1R,3aS,7aR)-1-[(R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,6,7,7a-hexahydro-1H-inden-4-yl}vinyl]-2-(3-hydroxypropyl)cyclohex-4-ene-1,3-diol",Homo sapiens,2.0,P 21 21 21,Orthorhombic,44.565,51.565,132.49,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",25.75,10.64,69.09,58.45
9EZ1,"Vitamin D receptor in complex with 1,4a,25-trihydroxyvitamin D3",Danio rerio,1.95,P 65 2 2,Hexagonal,65.98,65.98,263.47,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9EZ2,"Vitamin D receptor complex with 1,4b,25-trihydroxyvitamin D3",Danio rerio,1.8,P 65 2 2,Hexagonal,66.14,66.14,263.74,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9GY8,Vitamin D Receptor complex with Sila-A,Danio rerio,2.2,P 65 2 2,Hexagonal,65.457,65.457,262.257,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9GYA,Vitamin D Receptor in complex with Sila-e,Danio rerio,1.85,P 65 2 2,Hexagonal,65.92,65.92,263.57,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9GYC,Vitamin D receptor in complex with Sila-d,Danio rerio,2.2,P 65 2 2,Hexagonal,65.914,65.914,262.944,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9GYJ,Vitamin D receptor in complex with Sila-c,Danio rerio,1.9,P 65 2 2,Hexagonal,65.745,65.745,262.744,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9GYK,Vitamin D receptor in complex with Sila-f,Danio rerio,2.2,P 65 2 2,Hexagonal,65.95,65.95,264.41,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
6T2M,VDR-ZK168281 complex,Danio rerio,3.0,P 65 2 2,Hexagonal,66.155,66.155,265.315,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",99.03,48.26,182.94,134.68
7OXZ,VDR complex with a side-chain hydroxylated derivative of lithocholic acid,Danio rerio,2.2,P 65 2 2,Hexagonal,66.38,66.38,263.186,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",53.79,21.07,136.35,115.28
7OY4,VDR complex of a side-chain hydroxylated derivatives of lithocholic acid,Danio rerio,2.0,P 65 2 2,Hexagonal,66.489,66.489,263.846,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",38.31,13.33,106.37,93.04
3CS4,Structure-based design of a superagonist ligand for the vitamin D nuclear receptor,Homo sapiens,2.0,P 21 21 21,Orthorhombic,45.007,51.37,132.236,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",23.29,6.69,78.01,71.32
3CS6,Structure-based design of a superagonist ligand for the vitamin D nuclear receptor,Homo sapiens,1.8,P 21 21 21,Orthorhombic,45.055,51.458,132.132,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",18.33,5.78,54.83,49.05
3M7R,Crystal structure of VDR H305Q mutant,Homo sapiens,1.8,P 21 21 21,Orthorhombic,44.402,51.67,131.888,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",16.65,3.4,43.79,40.39
4G2I,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Homo sapiens,1.8,P 21 21 21,Orthorhombic,44.741,51.449,132.427,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",19.16,6.06,48.58,42.52
5GT4,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with (1R,2S,3R,5Z,7E,14beta,17alpha)-2-cyanopropoxy-9,10-secocholesta-5,7,10-triene-1,3,25-triol",Homo sapiens,1.83,P 21 21 21,Orthorhombic,44.663,51.842,131.475,90.0,90.0,90.0,EVAPORATION,20.14,7.78,103.91,96.13
8IQN,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 24,24-F2-25(OH)D3",Homo sapiens,1.639,P 21 21 21,Orthorhombic,45.02,51.434,132.375,90.0,90.0,90.0,VAPOR DIFFUSION,18.95,7.94,92.24,84.3
8IQT,Crystal structure of the human vitamin D receptor ligand binding domain complexed with (23R)-F-25(OH)D3,Homo sapiens,1.745,P 21 21 21,Orthorhombic,44.723,51.363,132.102,90.0,90.0,90.0,VAPOR DIFFUSION,27.46,13.01,82.37,69.36
5XPL,"Crystal structure of VDR-LBD complexed with 22S-butyl-25-hydroxyphenyl-2-methylidene-19,26,27-trinor-25-oxo-1-hydroxyvitamin D3",Rattus norvegicus,2.05,C 1 2 1,Monoclinic,128.78,44.91,45.52,90.0,93.62,90.0,"VAPOR DIFFUSION, HANGING DROP",26.41,11.25,81.41,70.16
1TXI,Crystal structure of the vdr ligand binding domain complexed to TX522,Homo sapiens,1.9,P 21 21 21,Orthorhombic,45.259,52.504,132.93,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",19.93,5.74,49.97,44.23
2HAM,Crystal structure of VDR LBD complexed to 2alpha-propyl-calcitriol,Homo sapiens,1.9,P 21 21 21,Orthorhombic,45.06,51.326,131.304,90.0,90.0,90.0,"VAPOR DIFFUSION, SITTING DROP",24.68,9.7,68.96,59.26
2HAR,Crystal structure of VDR LBD in complex with 2 alpha-(3-hydroxy-1-propoxy) calcitriol,Homo sapiens,1.9,P 21 21 21,Orthorhombic,45.118,51.318,131.284,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",25.53,11.34,74.78,63.44
2HAS,Crystal structure of VDR LBD in complex with 2alpha-(1-propoxy) calcitriol,Homo sapiens,1.96,P 21 21 21,Orthorhombic,45.1,51.669,131.715,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",26.76,10.87,79.06,68.19
2HB7,Crystal structure of VDR LBD in complex with 2alpha(3-hydroxy-1-propyl) calcitriol,Homo sapiens,1.8,P 21 21 21,Orthorhombic,44.981,51.368,132.201,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",24.28,9.4,81.76,72.36
2HB8,Crystal structure of VDR LBD in complex with 2alpha-methyl calcitriol,Homo sapiens,2.0,P 21 21 21,Orthorhombic,44.99,51.56,132.21,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",19.88,4.46,81.37,76.91
3A2I,Crystal structure of the human vitamin D receptor (H305F) ligand binding domain complexed with TEI-9647,Homo sapiens,3.27,P 21 21 21,Orthorhombic,44.796,51.365,131.773,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",20.59,2.74,38.69,35.95
3A2J,Crystal structure of the human vitamin D receptor (H305F/H397F) ligand binding domain complexed with TEI-9647,Homo sapiens,2.7,P 21 21 21,Orthorhombic,44.687,51.393,131.846,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",21.91,6.94,41.57,34.63
3AUQ,Crystal structure of the human vitamin D receptor ligand binding domain complexed with Yne-diene type analog of active 14-epi-2alpha-methyl-19-norvitamin D3,Homo sapiens,2.64,P 21 21 21,Orthorhombic,44.313,52.108,132.577,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",42.93,29.69,63.32,33.63
3AUR,Crystal structure of the human vitamin D receptor ligand binding domain complexed with Yne-diene type analog of active 14-epi-2beta-methyl-19-norvitamin D3,Homo sapiens,2.21,P 21 21 21,Orthorhombic,44.279,51.44,131.985,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",34.61,17.2,77.42,60.22
3AX8,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 15alpha-methoxy-1alpha,25-dihydroxyvitamin D3",Homo sapiens,2.6,P 21 21 21,Orthorhombic,44.489,51.585,132.017,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",15.92,2.0,53.83,51.83
3AZ1,Crystal Structure Analysis of Vitamin D receptor,Homo sapiens,1.5,P 21 21 21,Orthorhombic,44.613,51.732,131.579,90.0,90.0,90.0,hanging drop,30.57,14.86,97.47,82.61
3AZ2,Crystal Structure Analysis of Vitamin D receptor,Homo sapiens,1.69,P 21 21 21,Orthorhombic,44.53,51.84,132.4,90.0,90.0,90.0,hanging drop,24.73,10.75,78.4,67.65
3AZ3,Crystal Structure Analysis of Vitamin D receptor,Homo sapiens,1.36,P 21 21 21,Orthorhombic,44.32,52.222,131.946,90.0,90.0,90.0,hanging drop,25.33,11.65,80.3,68.65
3O1D,"Structure-function study of Gemini derivatives with two different side chains at C-20, Gemini-0072 and Gemini-0097.",Danio rerio,2.4007,P 65 2 2,Hexagonal,66.108,66.108,264.64,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",60.12,26.42,392.64,366.22
3O1E,"Structure-function of Gemini derivatives with two different side chains at C-20, Gemini-0072 and Gemini-0097.",Danio rerio,2.5001,P 65 2 2,Hexagonal,65.842,65.842,263.718,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",66.83,24.51,578.69,554.18
3P8X,"Synthesis, Structure, and Biological Activity of des-Side Chain Analogues of 1alpha,25-Dihydroxyvitamin D3 with Substituents at C-18",Homo sapiens,1.7,P 21 21 21,Orthorhombic,44.628,51.342,130.82,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",19.25,0.0,50.72,50.72
3VHW,Crystal structure of the human vitamin D receptor ligand binding domain complexed with 4-MP,Homo sapiens,2.43,P 21 21 21,Orthorhombic,44.975,51.47,131.264,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",23.21,5.99,67.39,61.4
3W0A,Crystal Structure Analysis of Vitamin D receptor,Homo sapiens,1.8,P 21 21 21,Orthorhombic,44.619,51.803,132.513,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",26.33,10.51,95.62,85.11
3W0C,Crystal Structure Analysis of Vitamin D receptor,Homo sapiens,1.9,P 21 21 21,Orthorhombic,44.37,51.917,132.087,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",24.74,5.66,88.76,83.1
3W0Y,Crystal Structure Analysis of Vitamin D receptor,Homo sapiens,1.98,P 21 21 21,Orthorhombic,45.217,51.124,132.664,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",28.01,12.22,98.71,86.49
3WWR,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 1-((((1S,2R,6R,Z)-2,6-dihydroxy-4-((E)-2-((1R,3aS,7aR)-1-((R)-6-hydroxy-6-methylheptan-2-yl)-7a-methylhexahydro-1H-inden-4(2H)-ylidene)ethylidene)-3-methylenecyclohexyl)oxy)methyl)cyclopropanecarbonitrile",Homo sapiens,3.18,P 21 21 21,Orthorhombic,45.167,51.826,132.384,90.0,90.0,90.0,VAPOR DIFFUSION,49.0,35.55,68.21,32.66
3X31,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 7,8-cis-14-epi-1a,25-Dihydroxy-19-norvitamin D3",Homo sapiens,2.11,P 21 21 21,Orthorhombic,44.369,51.508,131.52,90.0,90.0,90.0,VAPOR DIFFUSION,31.72,13.94,115.33,101.39
3X36,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 7,8-cis-1a,25-Dihydroxy-19-norvitamin D3",Homo sapiens,1.93,P 21 21 21,Orthorhombic,44.819,51.27,132.166,90.0,90.0,90.0,VAPOR DIFFUSION,18.91,6.24,133.39,127.15
4FHH,Development of synthetically accessible non-secosteroidal hybrid molecules combining vitamin D receptor agonism and histone deacetylase inhibition,Danio rerio,2.33,P 65 2 2,Hexagonal,66.289,66.289,264.225,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",53.04,26.78,96.5,69.72
4ITE,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 1alpha,25-Dihydroxy-2alpha-[2-(2H-tetrazol-2-yl)ethyl]vitamin D3",Homo sapiens,2.49,P 21 21 21,Orthorhombic,44.76,51.531,131.781,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",21.23,5.22,57.39,52.17
4ITF,"Crystal structure of the human vitamin D receptor ligand binding domain complexed with 1alpha,25-Dihydroxy-2alpha-[2-(1H-tetrazole-1-yl)ethyl]vitamin D3",Homo sapiens,2.84,P 21 21 21,Orthorhombic,44.353,51.809,132.08,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",28.07,8.81,59.7,50.89
4Q0A,Vitamin D Receptor complex with lithocholic acid,Danio rerio,1.9,P 65 2 2,Hexagonal,66.213,66.213,262.571,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",43.42,27.83,85.72,57.89
4RUO,Crystal structure of zVDR L337H mutant-gemini complex,Danio rerio,2.805,P 65 2 2,Hexagonal,66.085,66.085,265.233,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",67.39,22.35,230.34,207.99
5LGA,"Structural analysis and biological activities of BXL0124, a Gemini analog of Vitamin D",Danio rerio,2.5,P 65 2 2,Hexagonal,65.86,65.86,263.83,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",104.61,47.51,205.08,157.57
8P9X,Vitamin D receptor complex with Xe4Me agonist ligand,Danio rerio,2.15,P 65 2 2,Hexagonal,65.827,65.827,264.258,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",76.49,30.0,155.64,125.64
7QPI,"Structure of lamprey VDR in complex with 1,25D3",Petromyzon marinus,2.5,P 21 21 21,Orthorhombic,37.32,66.17,105.69,90.0,90.0,90.0,"VAPOR DIFFUSION, SITTING DROP",36.62,11.82,102.58,90.76
7OXU,VDR complex - calcitroic acid,Danio rerio,2.39,P 65 2 2,Hexagonal,65.728,65.728,264.354,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",62.11,28.92,148.24,119.32
4G1D,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Danio rerio,2.9,P 65 2 2,Hexagonal,66.287,66.287,263.662,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",52.2,11.27,118.91,107.64
4G1Y,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Danio rerio,2.85,P 65 2 2,Hexagonal,65.559,65.559,263.876,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",66.31,36.77,109.14,72.37
4G1Z,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Danio rerio,2.5,P 65 2 2,Hexagonal,66.472,66.472,262.336,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",73.11,41.75,115.53,73.78
4G20,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Danio rerio,2.9,P 65 2 2,Hexagonal,66.497,66.497,262.551,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",60.85,25.16,109.1,83.94
4G21,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Danio rerio,2.9,P 65 2 2,Hexagonal,66.287,66.287,263.662,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",63.47,37.02,103.07,66.05
4G2H,Structural basis for the accommodation of bis- and tris-aromatic derivatives in Vitamin D Nuclear Receptor,Danio rerio,2.5,P 65 2 2,Hexagonal,66.438,66.438,265.761,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",56.57,30.94,97.17,66.23
5E7V,Potent Vitamin D Receptor Agonist,Danio rerio,2.4,P 65 2 2,Hexagonal,66.49,66.49,263.34,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",62.65,35.14,170.02,134.88
5MX7,"1a,20S-dihydroxyvitamin D3 VDR complex",Danio rerio,1.98,P 65 2 2,Hexagonal,65.936,65.936,262.97,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
5OW7,VDR complex,Danio rerio,2.1,P 65 2 2,Hexagonal,65.699,65.699,262.259,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",41.15,12.2,138.37,126.17
7BNS,VDR complex with BXL-62,Danio rerio,2.7,P 65 2 2,Hexagonal,65.874,65.874,263.683,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
7BNU,VDR complex with BXL-62,Danio rerio,2.4,P 65 2 2,Hexagonal,65.658,65.658,264.139,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
7BO6,VDR complex with LCA derivative,Danio rerio,2.86,P 65 2 2,Hexagonal,66.39,66.39,263.82,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",94.24,30.0,187.08,157.08
7ZFG,VDR complex with aromatic D-ring analog,Danio rerio,2.62,P 65 2 2,Hexagonal,65.83,65.83,264.92,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",83.02,47.63,154.7,107.07
7ZFX,VDR complex with Aromatic-D-Ring Analog,Danio rerio,2.6,P 65 2 2,Hexagonal,65.723,65.723,263.897,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",67.46,30.0,138.71,108.71
8CK5,"VDR LBD complex with 25-nitro derivative of 1,25D3",Danio rerio,2.1,P 65 2 2,Hexagonal,65.701,65.701,262.106,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",63.39,31.49,128.27,96.78
9EYR,VDR complex with gemini analog UG-480,Danio rerio,2.56,P 65 2 2,Hexagonal,65.67,65.67,263.73,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",,,,
9FBF,VDR complex with UG-481,Danio rerio,3.01,P 65 2 2,Hexagonal,65.54,65.54,262.95,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",,,,
2ZL9,"2-Substituted-16-ene-22-thia-1alpha,25-dihydroxy-26,27-dimethyl-19-norvitamin D3 analogs: Synthesis, biological evaluation and crystal structure",Rattus norvegicus,1.9,C 1 2 1,Monoclinic,153.902,42.32,42.13,90.0,95.67,90.0,"VAPOR DIFFUSION, HANGING DROP",42.28,20.72,81.69,60.97
2ZLA,"2-Substituted-16-ene-22-thia-1alpha,25-dihydroxy-26,27-dimethyl-19-norvitamin D3 analogs: Synthesis, biological evaluation and crystal structure",Rattus norvegicus,2.0,C 1 2 1,Monoclinic,153.985,42.002,42.152,90.0,95.77,90.0,"VAPOR DIFFUSION, HANGING DROP",38.91,20.86,76.94,56.08
2ZLC,"2-Substituted-16-ene-22-thia-1alpha,25-dihydroxy-26,27-dimethyl-19-norvitamin D3 analogs: Synthesis, biological evaluation and crystal structure",Rattus norvegicus,2.0,C 1 2 1,Monoclinic,153.859,41.998,41.951,90.0,96.06,90.0,"VAPOR DIFFUSION, HANGING DROP",39.96,17.58,83.92,66.34
3VT4,Crystal structures of rat VDR-LBD with R270L mutation,Rattus norvegicus,1.9,C 1 2 1,Monoclinic,153.725,41.865,42.217,90.0,95.92,90.0,"VAPOR DIFFUSION, HANGING DROP",39.9,19.51,84.32,64.81
3VT5,Crystal structures of rat VDR-LBD with R270L mutation,Rattus norvegicus,2.11,C 1 2 1,Monoclinic,153.174,42.565,42.184,90.0,96.1,90.0,"VAPOR DIFFUSION, HANGING DROP",52.9,25.61,100.53,74.92
3VT6,"Crystal structure of rat VDR-LBD with 2-Substituted-16-ene-22-thia-1alpha,25-dihydroxy-26,27-dimethyl-19-norvitamin D3",Rattus norvegicus,2.3,C 1 2 1,Monoclinic,153.734,42.724,42.271,90.0,95.55,90.0,"VAPOR DIFFUSION, HANGING DROP",48.19,18.22,108.32,90.1
3VT8,Crystal structures of rat VDR-LBD with W282R mutation,Rattus norvegicus,2.1,C 1 2 1,Monoclinic,155.068,42.052,41.868,90.0,95.62,90.0,"VAPOR DIFFUSION, HANGING DROP",33.28,10.58,92.88,82.3
3VT9,Crystal structures of rat VDR-LBD with W282R mutation,Rattus norvegicus,2.35,C 1 2 1,Monoclinic,154.714,42.05,41.972,90.0,95.63,90.0,"VAPOR DIFFUSION, HANGING DROP",34.64,8.34,91.84,83.5
3A40,Crystal structure of the human VDR ligand binding domain bound to the synthetic agonist compound 2alpha-methyl-AMCR277B(C23R),Homo sapiens,1.45,P 21 21 21,Orthorhombic,44.969,51.496,131.91,90.0,90.0,90.0,"VAPOR DIFFUSION, SITTING DROP",15.67,8.04,40.87,32.83
3KPZ,"Crystal structure of a novel vitamin D3 analogue, ZK203278 showing dissociated profile",Homo sapiens,1.9,P 21 21 21,Orthorhombic,44.887,51.892,132.204,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",20.01,6.96,48.25,41.29
